"","node_size","num.trees","max.depth","auc"
"1",1,100,0,0.727910965217118
"2",2,100,0,0.69365362268773
"3",3,100,0,0.712112015817725
"4",4,100,0,0.719752902669924
"5",5,100,0,0.711452147422724
"6",6,100,0,0.717896873459567
"7",7,100,0,0.707142349964429
"8",8,100,0,0.711936551588532
"9",9,100,0,0.716341932673624
"10",10,100,0,0.707588520679518
"11",1,200,0,0.714691920316027
"12",2,200,0,0.724126024280972
"13",3,200,0,0.727167973203813
"14",4,200,0,0.723267819860366
"15",5,200,0,0.722446312725048
"16",6,200,0,0.722272384661286
"17",7,200,0,0.724968867047272
"18",8,200,0,0.728335117561034
"19",9,200,0,0.729073842448142
"20",10,200,0,0.723723207568038
"21",1,300,0,0.73857058782565
"22",2,300,0,0.731543143035436
"23",3,300,0,0.742571103977235
"24",4,300,0,0.732175189767636
"25",5,300,0,0.728419948029817
"26",6,300,0,0.72590166083379
"27",7,300,0,0.736365337007386
"28",8,300,0,0.726655918060253
"29",9,300,0,0.721091585500237
"30",10,300,0,0.725826388727686
"31",1,400,0,0.733639155423074
"32",2,400,0,0.726577232253193
"33",3,400,0,0.732847006115987
"34",4,400,0,0.735177198389279
"35",5,400,0,0.731930598094062
"36",6,400,0,0.732065268596819
"37",7,400,0,0.730365416205248
"38",8,400,0,0.725945868261184
"39",9,400,0,0.726426517355938
"40",10,400,0,0.723898501112184
"41",1,500,0,0.735187439492151
"42",2,500,0,0.731230618712816
"43",3,500,0,0.730609154453583
"44",4,500,0,0.740170589464226
"45",5,500,0,0.728590291707574
"46",6,500,0,0.730390848277378
"47",7,500,0,0.734097615461607
"48",8,500,0,0.72680407268179
"49",9,500,0,0.73051869137822
"50",10,500,0,0.730525006724991
"51",1,600,0,0.738129196291901
"52",2,600,0,0.740100096539463
"53",3,600,0,0.736659256659789
"54",4,600,0,0.736232544040156
"55",5,600,0,0.738292029827553
"56",6,600,0,0.729742074410488
"57",7,600,0,0.73212876343462
"58",8,600,0,0.735135209867507
"59",9,600,0,0.732847176801035
"60",10,600,0,0.733487416415532
"61",1,700,0,0.73961057182222
"62",2,700,0,0.737828961292728
"63",3,700,0,0.733472908186464
"64",4,700,0,0.736102994088835
"65",5,700,0,0.731444828447872
"66",6,700,0,0.737177968520215
"67",7,700,0,0.736827893487068
"68",8,700,0,0.732975019901877
"69",9,700,0,0.730511863976306
"70",10,700,0,0.726711561385853
"71",1,800,0,0.740424398130384
"72",2,800,0,0.730662920243656
"73",3,800,0,0.737311785597732
"74",4,800,0,0.73852211327206
"75",5,800,0,0.733848073921646
"76",6,800,0,0.737535041640324
"77",7,800,0,0.738668902413213
"78",8,800,0,0.736073124205461
"79",9,800,0,0.733592046349866
"80",10,800,0,0.732941053577354
"81",1,100,1,0.594727982652937
"82",2,100,1,0.62347424635724
"83",3,100,1,0.62159858836638
"84",4,100,1,0.610132308221694
"85",5,100,1,0.625564114083155
"86",6,100,1,0.609555051389854
"87",7,100,1,0.60417898443762
"88",8,100,1,0.62834337871735
"89",9,100,1,0.61430282668094
"90",10,100,1,0.603206762405048
"91",1,200,1,0.601463043956179
"92",2,200,1,0.620203920840371
"93",3,200,1,0.614787401531796
"94",4,200,1,0.618525745449878
"95",5,200,1,0.615970248913419
"96",6,200,1,0.620652310461082
"97",7,200,1,0.616552114241551
"98",8,200,1,0.615983220977056
"99",9,200,1,0.610086393943821
"100",10,200,1,0.607132006450529
"101",1,300,1,0.618678849937802
"102",2,300,1,0.605340496188261
"103",3,300,1,0.609509307797029
"104",4,300,1,0.623730444614067
"105",5,300,1,0.613037709106252
"106",6,300,1,0.608489806006202
"107",7,300,1,0.614581896734181
"108",8,300,1,0.620405499881886
"109",9,300,1,0.625006315346771
"110",10,300,1,0.605696886568179
"111",1,400,1,0.603340408797517
"112",2,400,1,0.611077391331657
"113",3,400,1,0.616718020108064
"114",4,400,1,0.619240915800383
"115",5,400,1,0.615926041486025
"116",6,400,1,0.622010792756946
"117",7,400,1,0.615573576862208
"118",8,400,1,0.613905813259634
"119",9,400,1,0.60705400338366
"120",10,400,1,0.626137957214038
"121",1,500,1,0.612487249826925
"122",2,500,1,0.616577546313681
"123",3,500,1,0.62671896911693
"124",4,500,1,0.611033013219216
"125",5,500,1,0.60483970625786
"126",6,500,1,0.608546132071994
"127",7,500,1,0.609771138660436
"128",8,500,1,0.617706969275326
"129",9,500,1,0.61324304321882
"130",10,500,1,0.613020128546323
"131",1,600,1,0.606724581241304
"132",2,600,1,0.609624178834235
"133",3,600,1,0.618564832325836
"134",4,600,1,0.614151599728542
"135",5,600,1,0.620720755165271
"136",6,600,1,0.609620935818326
"137",7,600,1,0.619221116334832
"138",8,600,1,0.611335296438964
"139",9,600,1,0.615767645761617
"140",10,600,1,0.612487591197021
"141",1,700,1,0.622170041906593
"142",2,700,1,0.612180528795933
"143",3,700,1,0.616788000977684
"144",4,700,1,0.620165687389652
"145",5,700,1,0.608983427164594
"146",6,700,1,0.609377197569991
"147",7,700,1,0.616434170873484
"148",8,700,1,0.614718615457511
"149",9,700,1,0.612229856774763
"150",10,700,1,0.609807323890581
"151",1,800,1,0.607492322586548
"152",2,800,1,0.616482816112122
"153",3,800,1,0.612200840316628
"154",4,800,1,0.614283197900437
"155",5,800,1,0.617047783620517
"156",6,800,1,0.616968073703169
"157",7,800,1,0.619455637590583
"158",8,800,1,0.615814072094633
"159",9,800,1,0.611719508481681
"160",10,800,1,0.61763511087018
